Year;Fatal Crashes;Drivers;Passengers;Unknown Vehicle Occupant;Motorcyclists;Pedestrians;Pedalcyclists;Other/ Unknown Nonmotorist Vehicle Occupant;Vehicle Miles Traveled (Billions);Resident Population (Thousands);Registered Vehicles (Thousands);Licensed Drivers (Thousands);Fatalities per 100 Million Vehicle Miles Traveled;Fatalities per 100,000 Population;Fatalities per 100,000 Registered Vehicles;Fatalities per 100,000 Licensed Drivers
1994;36254;21596;10294;108;2320;5489;802;107;2358;260327;192497;175403;173;1564;2115;2321
1995;37241;22370;10576;118;2227;5584;833;109;2423;262803;197065;176628;173;1591;2122;2368
1996;37494;22572;10860;102;2161;5449;765;154;2484;265229;201631;179539;169;1586;2086;2343
1997;37324;22730;10765;114;2116;5321;814;153;2552;267784;203568;182709;165;1569;2064;2299
1998;37107;22654;10327;107;2294;5228;760;131;2628;270248;208076;184861;158;1536;1995;2245
1999;37140;22971;10325;96;2483;4939;754;149;2690;272691;212685;187170;155;153;1961;2229
2000;37526;22914;10451;86;2897;4763;693;141;2747;282162;217028;190625;153;1487;1933;22
2001;37862;22914;10227;102;3197;4901;732;123;2796;284969;221230;191276;151;1481;1907;2206
2002;38491;23625;10370;110;3270;4851;665;114;2856;287625;225685;194602;151;1495;1906;221
2003;38477;23352;10171;104;3714;4774;629;140;2890;290108;230633;196166;148;1478;1859;2186
2004;38444;23158;10042;76;4028;4675;727;130;2965;292805;237949;198889;144;1463;18;2154
2005;39252;23237;9750;83;4576;4892;786;186;2989;295517;245628;200549;146;1472;1771;217
2006;38648;22831;9187;101;4837;4795;772;185;3014;298380;251415;202810;142;1431;1699;2106
2007;37435;21717;8716;94;5174;4699;701;158;3031;301231;257472;205742;136;137;1602;2005
2008;34172;19279;7441;71;5312;4414;718;188;2977;304094;259360;208321;126;1231;1443;1796
2009;30862;17670;6793;63;4469;4109;628;151;2957;306772;258958;209618;115;1105;1308;1616
2010;30296;16864;6451;56;4518;4302;623;185;2967;309347;257312;210115;111;1067;1282;1571
2011;29867;16474;5972;64;4630;4457;682;200;2950;311722;265043;211875;11;1042;1225;1533
2012;31006;16838;6106;73;4986;4818;734;227;2969;314112;265647;211815;114;1075;1272;1595
2013;30203;16521;5896;67;4692;4779;749;190;2988;316498;269294;212160;11;1039;1221;155
2014;29989;16454;5751;71;4586;4884;726;203;3026;318857;274805;214092;108;1025;1189;1526
