index;title;year;rating;votes;runtime;genre;Awards
1;The Wizard of Oz;1939;8,1;208759;102;Adventure;0
2;Singin' in the Rain;1952;8,4;108083;103;Comedy;1
3;Seven Samurai;1954;8,8;172933;207;Action;0
4;The Bridge on the River Kwai;1957;8,3;110134;161;Adventure;0
5;Ben-Hur;1959;8,2;115368;212;Adventure;1
6;North by Northwest;1959;8,5;165993;136;Action;1
7;Some Like It Hot;1959;8,4;130010;120;Comedy;0
8;Lawrence of Arabia;1962;8,4;140500;216;Adventure;1
9;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;8,6;263464;95;Comedy;0
10;Goldfinger;1964;7,8;110105;110;Action;0
11;The Good, the Bad and the Ugly;1966;9;355063;161;Adventure;1
12;The Graduate;1967;8,1;161971;106;Comedy;1
13;2001: A Space Odyssey;1968;8,3;;160;Adventure;1
14;Planet of the Apes;1968;8;109646;112;Adventure;0
15;Butch Cassidy and the Sundance Kid;1969;8,2;111062;110;Adventure;1
16;Once Upon a Time in the West;1968;8,7;156656;175;Adventure;1
17;The Sting;1973;8,4;127707;129;Comedy;0
18;Monty Python and the Holy Grail;1975;8,4;284261;91;Adventure;0
19;Jaws;1975;8,1;290173;124;Adventure;0
20;Annie Hall;1977;8,2;138710;93;Comedy;0
21;Close Encounters of the Third Kind;1977;7,7;109786;137;Adventure;0
22;Star Wars: Episode IV - A New Hope;1977;8,7;633482;121;Action;1
23;Life of Brian;1979;8,2;198588;94;Comedy;1
24;Airplane!;1980;7,8;121941;88;Comedy;1
25;The Blues Brothers;1980;8;110332;133;Action;1
26;Star Wars: Episode V - The Empire Strikes Back;1980;8,8;565009;124;Action;1
27;Das Boot;1981;8,5;126994;149;Action;1
28;Raiders of the Lost Ark;1981;8,6;471716;115;Action;0
29;E.T. the Extra-Terrestrial;1982;7,9;218846;115;Adventure;0
30;First Blood;1982;7,6;134361;93;Action;0
31;Star Wars: Episode VI - Return of the Jedi;1983;8,4;441741;134;Action;0
32;Ghostbusters;1984;7,8;194518;105;Comedy;0
33;Gremlins;1984;7,2;101827;106;Comedy;0
34;Indiana Jones and the Temple of Doom;1984;7,6;228887;118;Action;0
35;The Terminator;1984;8,1;413023;107;Action;0
36;Back to the Future;1985;8,5;480044;116;Adventure;0
37;The Breakfast Club;1985;7,9;184470;97;Comedy;0
38;The Goonies;1985;7,8;132714;114;Adventure;0
39;Aliens;1986;8,5;353331;137;Action;0
40;Ferris Bueller's Day Off;1986;7,9;188023;103;Comedy;1
41;Platoon;1986;8,2;217637;120;Action;0
42;Stand by Me;1986;8,2;198547;89;Adventure;0
43;Top Gun;1986;6,8;166022;110;Action;0
44;Lethal Weapon;1987;7,6;153833;110;Action;0
45;Predator;1987;7,9;222991;107;Action;0
46;The Princess Bride;1987;8,2;223131;98;Adventure;1
47;RoboCop;1987;7,5;132804;102;Action;1
48;Spaceballs;1987;7,1;105340;96;Adventure;1
49;Beetlejuice;1988;7,4;138783;92;Comedy;1
50;Big;1988;7,3;115561;104;Comedy;1
51;Die Hard;1988;8,3;431784;131;Action;0
52;My Neighbor Totoro;1988;8,3;101476;86;Animation;1
53;Who Framed Roger Rabbit;1988;7,7;105875;104;Animation;1
54;The Abyss;1989;7,6;106501;139;Adventure;0
55;Back to the Future Part II;1989;7,8;220721;108;Adventure;1
56;Batman;1989;7,6;209080;126;Action;0
57;Ghostbusters II;1989;6,5;100209;108;Action;1
58;Indiana Jones and the Last Crusade;1989;8,3;364028;127;Action;1
59;The Little Mermaid;1989;7,6;110118;83;Animation;1
60;When Harry Met Sally...;1989;7,6;118500;96;Comedy;1
61;Back to the Future Part III;1990;7,4;182749;118;Adventure;0
62;Dances with Wolves;1990;8;143462;181;Adventure;0
63;Die Hard 2;1990;7,1;205192;124;Action;0
64;Home Alone;1990;7,4;212728;103;Comedy;1
65;The Hunt for Red October;1990;7,6;116660;134;Action;1
66;Pretty Woman;1990;6,9;156340;119;Comedy;1
67;Total Recall;1990;7,5;186250;113;Action;1
68;Beauty and the Beast;1991;8,1;208513;84;Animation;1
69;Hook;1991;6,6;137257;144;Adventure;1
70;Robin Hood: Prince of Thieves;1991;6,9;117561;143;Action;1
71;Terminator 2: Judgment Day;1991;8,5;523190;137;Action;1
72;Alien\302\263;1992;6,4;153592;114;Action;0
73;Batman Returns;1992;7;163620;126;Action;0
74;Home Alone 2: Lost in New York;1992;6,4;132595;120;Adventure;1
75;Lethal Weapon 3;1992;6,7;103140;118;Action;1
76;Army of Darkness;1992;7,6;100971;81;Comedy;1
77;The Fugitive;1993;7,8;175786;130;Action;0
78;Groundhog Day;1993;8,1;309100;101;Comedy;0
